areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-03-11,36,125343
overview,United Kingdom,K02000001,2021-03-10,83,125307
overview,United Kingdom,K02000001,2021-03-09,117,125224
overview,United Kingdom,K02000001,2021-03-08,133,125107
overview,United Kingdom,K02000001,2021-03-07,106,124974
overview,United Kingdom,K02000001,2021-03-06,134,124868
overview,United Kingdom,K02000001,2021-03-05,151,124734
overview,United Kingdom,K02000001,2021-03-04,141,124583
overview,United Kingdom,K02000001,2021-03-03,143,124442
overview,United Kingdom,K02000001,2021-03-02,176,124299
overview,United Kingdom,K02000001,2021-03-01,224,124123
overview,United Kingdom,K02000001,2021-02-28,209,123899
overview,United Kingdom,K02000001,2021-02-27,224,123690
overview,United Kingdom,K02000001,2021-02-26,223,123466
overview,United Kingdom,K02000001,2021-02-25,257,123243
overview,United Kingdom,K02000001,2021-02-24,269,122986
overview,United Kingdom,K02000001,2021-02-23,281,122717
overview,United Kingdom,K02000001,2021-02-22,277,122436
overview,United Kingdom,K02000001,2021-02-21,321,122159
overview,United Kingdom,K02000001,2021-02-20,342,121838
overview,United Kingdom,K02000001,2021-02-19,378,121496
overview,United Kingdom,K02000001,2021-02-18,417,121118
overview,United Kingdom,K02000001,2021-02-17,428,120701
overview,United Kingdom,K02000001,2021-02-16,444,120273
overview,United Kingdom,K02000001,2021-02-15,512,119829
overview,United Kingdom,K02000001,2021-02-14,491,119317
overview,United Kingdom,K02000001,2021-02-13,488,118826
overview,United Kingdom,K02000001,2021-02-12,523,118338
overview,United Kingdom,K02000001,2021-02-11,571,117815
overview,United Kingdom,K02000001,2021-02-10,605,117244
overview,United Kingdom,K02000001,2021-02-09,601,116639
overview,United Kingdom,K02000001,2021-02-08,680,116038
overview,United Kingdom,K02000001,2021-02-07,633,115358
overview,United Kingdom,K02000001,2021-02-06,698,114725
overview,United Kingdom,K02000001,2021-02-05,747,114027
overview,United Kingdom,K02000001,2021-02-04,716,113280
overview,United Kingdom,K02000001,2021-02-03,856,112564
overview,United Kingdom,K02000001,2021-02-02,845,111708
overview,United Kingdom,K02000001,2021-02-01,887,110863
overview,United Kingdom,K02000001,2021-01-31,889,109976
overview,United Kingdom,K02000001,2021-01-30,909,109087
overview,United Kingdom,K02000001,2021-01-29,1065,108178
overview,United Kingdom,K02000001,2021-01-28,1104,107113
overview,United Kingdom,K02000001,2021-01-27,1109,106009
overview,United Kingdom,K02000001,2021-01-26,1058,104900
overview,United Kingdom,K02000001,2021-01-25,1164,103842
overview,United Kingdom,K02000001,2021-01-24,1155,102678
overview,United Kingdom,K02000001,2021-01-23,1159,101523
overview,United Kingdom,K02000001,2021-01-22,1238,100364
overview,United Kingdom,K02000001,2021-01-21,1233,99126
overview,United Kingdom,K02000001,2021-01-20,1292,97893
overview,United Kingdom,K02000001,2021-01-19,1361,96601
overview,United Kingdom,K02000001,2021-01-18,1296,95240
overview,United Kingdom,K02000001,2021-01-17,1262,93944
overview,United Kingdom,K02000001,2021-01-16,1302,92682
overview,United Kingdom,K02000001,2021-01-15,1224,91380
overview,United Kingdom,K02000001,2021-01-14,1219,90156
overview,United Kingdom,K02000001,2021-01-13,1213,88937
overview,United Kingdom,K02000001,2021-01-12,1205,87724
overview,United Kingdom,K02000001,2021-01-11,1133,86519
overview,United Kingdom,K02000001,2021-01-10,1092,85386
overview,United Kingdom,K02000001,2021-01-09,1018,84294
overview,United Kingdom,K02000001,2021-01-08,982,83276
overview,United Kingdom,K02000001,2021-01-07,991,82294
overview,United Kingdom,K02000001,2021-01-06,931,81303
overview,United Kingdom,K02000001,2021-01-05,905,80372
overview,United Kingdom,K02000001,2021-01-04,839,79467
overview,United Kingdom,K02000001,2021-01-03,757,78628
overview,United Kingdom,K02000001,2021-01-02,756,77871
overview,United Kingdom,K02000001,2021-01-01,746,77115
overview,United Kingdom,K02000001,2020-12-31,755,76369
overview,United Kingdom,K02000001,2020-12-30,716,75614
overview,United Kingdom,K02000001,2020-12-29,660,74898
overview,United Kingdom,K02000001,2020-12-28,675,74238
overview,United Kingdom,K02000001,2020-12-27,647,73563
overview,United Kingdom,K02000001,2020-12-26,652,72916
overview,United Kingdom,K02000001,2020-12-25,609,72264
overview,United Kingdom,K02000001,2020-12-24,583,71655
overview,United Kingdom,K02000001,2020-12-23,563,71072
