areaType,areaName,areaCode,date,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate
overview,United Kingdom,K02000001,2021-04-26,4,127451
overview,United Kingdom,K02000001,2021-04-25,7,127447
overview,United Kingdom,K02000001,2021-04-24,5,127440
overview,United Kingdom,K02000001,2021-04-23,17,127435
overview,United Kingdom,K02000001,2021-04-22,17,127418
overview,United Kingdom,K02000001,2021-04-21,22,127401
overview,United Kingdom,K02000001,2021-04-20,18,127379
overview,United Kingdom,K02000001,2021-04-19,17,127361
overview,United Kingdom,K02000001,2021-04-18,16,127344
overview,United Kingdom,K02000001,2021-04-17,18,127328
overview,United Kingdom,K02000001,2021-04-16,16,127310
overview,United Kingdom,K02000001,2021-04-15,21,127294
overview,United Kingdom,K02000001,2021-04-14,18,127273
overview,United Kingdom,K02000001,2021-04-13,20,127255
overview,United Kingdom,K02000001,2021-04-12,27,127235
overview,United Kingdom,K02000001,2021-04-11,20,127208
overview,United Kingdom,K02000001,2021-04-10,24,127188
overview,United Kingdom,K02000001,2021-04-09,22,127164
overview,United Kingdom,K02000001,2021-04-08,35,127142
overview,United Kingdom,K02000001,2021-04-07,27,127107
overview,United Kingdom,K02000001,2021-04-06,28,127080
overview,United Kingdom,K02000001,2021-04-05,17,127052
overview,United Kingdom,K02000001,2021-04-04,25,127035
overview,United Kingdom,K02000001,2021-04-03,30,127010
overview,United Kingdom,K02000001,2021-04-02,28,126980
overview,United Kingdom,K02000001,2021-04-01,31,126952
overview,United Kingdom,K02000001,2021-03-31,38,126921
overview,United Kingdom,K02000001,2021-03-30,42,126883
overview,United Kingdom,K02000001,2021-03-29,34,126841
overview,United Kingdom,K02000001,2021-03-28,34,126807
overview,United Kingdom,K02000001,2021-03-27,36,126773
overview,United Kingdom,K02000001,2021-03-26,48,126737
overview,United Kingdom,K02000001,2021-03-25,45,126689
overview,United Kingdom,K02000001,2021-03-24,39,126644
overview,United Kingdom,K02000001,2021-03-23,50,126605
overview,United Kingdom,K02000001,2021-03-22,63,126555
overview,United Kingdom,K02000001,2021-03-21,80,126492
overview,United Kingdom,K02000001,2021-03-20,66,126412
overview,United Kingdom,K02000001,2021-03-19,66,126346
overview,United Kingdom,K02000001,2021-03-18,59,126280
overview,United Kingdom,K02000001,2021-03-17,78,126221
overview,United Kingdom,K02000001,2021-03-16,80,126143
overview,United Kingdom,K02000001,2021-03-15,92,126063
overview,United Kingdom,K02000001,2021-03-14,93,125971
overview,United Kingdom,K02000001,2021-03-13,103,125878
overview,United Kingdom,K02000001,2021-03-12,93,125775
overview,United Kingdom,K02000001,2021-03-11,118,125682
overview,United Kingdom,K02000001,2021-03-10,115,125564
overview,United Kingdom,K02000001,2021-03-09,135,125449
overview,United Kingdom,K02000001,2021-03-08,143,125314
overview,United Kingdom,K02000001,2021-03-07,131,125171
overview,United Kingdom,K02000001,2021-03-06,152,125040
overview,United Kingdom,K02000001,2021-03-05,169,124888
